,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-6348943063155744346,7065704533945771463,-8996656559398843485,-1999468346928419252,-4833307637594287163,-7.529178973676767e+18
-6347212504547574224,7973573994178035769,-7685837606421530296,786135087362634258,1318981494172475806,-6.192959589652486e+18
-6346370309134074019,-7108012586837980940,-8512859527034085078,5761988486867612282,-1762456938647577126,8.028897172674067e+18
-6340141548068597572,-1138633255366005559,-4412848927260591416,4402253552023115142,-4738242186452730534,-7.593899780852602e+17
-6324550271415246022,-5573840044320724169,8038154459609789205,5817939718364925129,3801064060797809024,-5.808672937983623e+18
-6313130301986591995,-5025556998520984849,6009447229221815725,9028580484484026894,-2375266175756882986,-2.2133201667273715e+18
-6312384811410586459,-5676280017759875198,9112765177685685246,-5434287697440336767,-2217888411555964341,-2.2377907080811302e+18
-6308850935767965758,-587747935064273401,-7876497512693688413,6669026579073415958,8527071648070448758,5.947470908330063e+18
-6289909056857931861,-7082978776831463151,2586379029487881843,-6752460077509522132,5462702203586546682,-3.2853975929828526e+18
-6273159470243757969,-6820241302436968068,8215778202715904841,-4944551138301474550,5640834597379907148,-6.463637573325658e+18
-6255454949363031923,-8819557474068526071,-1313614305945895108,-7380550029266431533,9208127165664287660,-7.246992181701069e+17
-6255158415883847921,-8819557474068526071,-8158171393641147845,-2061825422128752184,3547081132182529111,3.9804058831683415e+18
-6249065792190816357,7845570490247450966,-5578229678262992168,-1911407455198985777,-5452374239565071760,5.26616446898166e+18
-6245566021053602636,-5297634649735765167,-5055745575969002313,5761988486867612282,-7108012586837980940,8.028897172674067e+18
-6245524727898921842,-5581910915745827384,-7905002887579197656,-6245524727898921842,-1150591229250318592,6.234215549798993e+17
-6244754482621048226,524776334673868069,-6570327055377820618,-1403735753867098241,6987435400166905688,5.271205718596252e+18
-6238628334008320788,9121100366909552616,7247406924790318523,-6817174660103551196,4307433444610636421,-9.080873096647718e+18
-6215634663594744290,3134511142783292503,4532698165746826599,-7639185658532886960,4313871021753084020,-5.729915270134094e+18
-6207670654614839859,-5628343274127925011,2255878226385826814,-5458316826145145813,6206342468637502921,5.929055844564383e+18
-6195775145989617417,-3515692979189178102,-2176468683077766369,-1590585250246572231,-1039912738963181810,2.255603060224027e+18
-6192959589652486637,786135087362634258,-2038869595290705317,-7685837606421530296,7973573994178035769,-6.380034335041405e+18
-6192579321116251081,4904775878165401439,-4612605965384710183,4105873627900556540,8749720044741011597,-8.043889175123949e+18
-6184570078369383337,-2097626568191556277,-5204755921272353160,8267509427016592713,-70211258489242437,3.041906492387035e+18
-6180514744351188891,-6180514744351188891,1719976830095479814,-894273917655637623,-5345231991504930502,-1.6381223535996157e+18
-6174871522512566947,8402348887626635381,-3612149709424815327,1012456848389051365,-2476100034099959458,5.901067357946112e+18
-6171950598721418038,-6171950598721418038,-2477364558321255827,6798386551136144335,-2213320166727371491,-5.693222181837309e+17
-6157984812065160219,7421641564256558176,-9071883412530082330,-3460883803089049921,4345055131254210605,6.040574489860278e+18
-6156751702010469220,8582210754044680874,2581138407738454418,-6654470039478316910,5217724704513784613,4.695698299220703e+18
-6151852268067518688,5979676385148714519,9151634133568930081,-1137602700803601559,1662917027785920354,5.827857898404399e+18
-6142462826726347616,-7685837606421530296,7973573994178035769,786135087362634258,7655627888058923987,1.318981494172476e+18
-6136272094613269629,4315784099325221836,9033884391004475493,1536798472239364319,163780025692404854,-9.099155556042679e+18
-6133746337603876146,-1565401790888834000,-36844712915106340,5333141914314968598,-8734181034726403477,8.096016055859396e+17
-6126634320182965455,-5386512752101672374,4629488036162962359,7578709204835512162,-7193893108516217330,5.33857528438107e+18
-6124198068300347794,6643427232964983922,1984587708208773,4861691621484862889,1577045425286888616,5.395784585257808e+18
-6121430502305136434,4833869287568225997,8120046881003900118,2879555397105020076,-3299064309968644318,1.5926003912339581e+18
-6119620726358216329,-1730766821655383888,-1073835383506921412,2285392309373358857,-8535131855706279960,8.174678078757706e+17
-6115752106105570167,8219310215587599928,-4187268503708157132,-1802980374508081539,8267509427016592713,8.381798621267347e+18
-6096307037126839100,-2041630887686751489,7140495736721533935,378386436485699053,-5691384416070374740,8.869575677747286e+18
-6076367233589223323,-7564569805639737618,1796618361228441836,8297658253225035519,-6545872007932025533,4.3006528113075507e+18
-6074661548047199165,8473367604990946179,3180608611815082945,672199059798181601,3075810310719170278,-3.675009040647937e+18
-6074646493203713780,-5550023273712568004,-3405516291669853723,1619468327065509360,-4295420427690447901,-8.88577609663273e+18
-6058152698516590252,2531450382701518075,1003778007373126185,363303724138208407,8708452471825540133,-7.193893108516217e+18
-6056382045660082261,-4882849408937990337,-5289386635926629588,5232169374213306041,-5411404485622449820,-8.935051432668167e+18
-6035458164887182128,-1637159115260338032,6847460841437230342,4597139024287190193,-9099155556042679205,-3.114161754347804e+18
-6016433871633244814,-7454907763335725103,-6510151088126868601,1362723651715193305,3465127447598546258,4.3031426775814794e+18
-6009377241272750648,-5522643017727334716,171877380813632915,-7202774608580336956,-8689461307495241608,2.6683070457959337e+18
-6005035774300213929,2301338403202434417,717471739656838182,1595230810451459837,-1483274517395674620,1.339353160969607e+18
-5997769775112032630,-1892877682006771545,-8099145207792678586,-8771338872124599367,8065912276310959188,6.669026579073416e+18
-5989749314869037016,-2375266175756882986,5658615529969625284,-569322218183730892,-3105075547863520421,-2.2133201667273715e+18
-5976464170927897250,-7796858148829878756,-6625273991455881177,5237574390644778994,-8704908797766843570,-4.485188959476061e+18
-5973686110278905367,-3633300009206493694,4320282974712265321,6642437212220341339,5640834597379907148,7.420742904084385e+18
-5954724412982705962,1532206435917316688,-6546787050052580484,515531013045220470,-5000193502203199335,-7.638840925036529e+18
-5953227649059336919,-8641360668993633978,-3462051751080362224,3407455496422791860,-6651333707067617642,-7.534240757267993e+18
-5952729859839521828,8586403905004879205,6044362651232258738,7526364197140419661,2321412363020240814,8.806127404334958e+17
-5941854046477982982,817467807875770568,6059546463839992340,-2797708685347481851,-6792965795755857419,-3.948584530712356e+16
-5924653357616257702,-7529178973676767391,-5350793437550886525,-1676378465482420452,-8582642829303844420,-5.953227649059337e+18
-5920475612630001479,-3040610224044779845,-4996336942690402156,911037455259135591,7507067965574797372,2.415534163825595e+18
-5917314377186856799,6157037646878010131,3375733407275108717,-3170829374166745427,1457728991321948254,-5.082274522455748e+18
-5912792039759735631,4419562057180692966,-3951274083288934897,-3095494965842381869,-447851796385928420,2.947843229055217e+18
-5895530418852362770,-1104501717379772664,-241724866433160984,-3295913657316686039,8659918766210334195,-2.2908139324498778e+17
-5881946480525580860,1021466437456217445,8742078838645536785,1440793148901830221,8527071648070448758,7.804826445069771e+18
-5879360586463363298,8898031730873390440,-548976469460064550,2388097612905924826,4633013345375349272,4.1642121156543503e+18
-5867424949902842953,6793894801847439981,-9092333155845304874,-8578355592291788601,4338940510328721138,-4.748027149000767e+18
-5850390492300666299,6607431762270322325,-645584250289067285,6412479507689487223,-2740396993975951758,3.3827955249535114e+18
-5848755753905481990,-4974757204495953627,667643281369196267,4375556914674736641,-7564569805639737618,2.262656830196924e+18
-5848514031542611523,3170775058142440102,6643427232964983922,2709926970543371965,-7527881206365368,-2.314360211211304e+18
-5847687782206566321,-5319401396891346003,-9033211547111606164,-6732229745645090645,-6858665134018491791,6.669026579073416e+18
-5845411843260276924,-6468782714472551646,-282629989972409543,-4866987227632887920,3241240229241793423,3.6182059201795773e+18
-5843518165523212471,-9095002324981651252,1642787330067525131,-1463025432902754108,-1068603220639552685,5.726008417498979e+18
-5839185923562195912,1772786465683785304,-7342604649736473979,3075564241645350154,667643281369196267,-5.160830061297425e+18
-5836228373063558898,1003778007373126185,2531450382701518075,363303724138208407,-4570752586662989981,2.323403245382927e+18
-5833012379380837354,-8026099268928087567,-6359164149051198083,4702466408529036844,1554619040289415222,7.12799788953345e+18
-5829979886567267504,-9071883412530082330,4345055131254210605,7421641564256558176,-1606909838151129701,-6.15798481206516e+18
-5829402940194444779,5761988486867612282,5681075485882787671,-7108012586837980940,-3920984929373505016,8.028897172674067e+18
-5826278791285476287,-1591454024897803197,4786732753690611738,-605114438206384896,-2779829118032656703,-2.2718688733499077e+18
-5823763419123575797,4631867115963052211,-3832772858396854546,8038154459609789205,6165641386379495559,-5.573840044320724e+18
-5823398424129440733,-1447641181396994093,1737303669706106633,8659918766210334195,-4738242186452730534,-6.875247493073242e+18
-5820943153819992582,-4351117979148287331,8076265166566225141,7986490214699943896,9028580484484026894,-5.025556998520985e+18
-5813211845057621660,-7113155163062752691,-4070599188332885701,-1249436522568155938,2277184202014276839,1.8739520328438784e+18
-5808672937983623398,-2587745393898245957,2847365042071859088,-2139739377293212491,-7766518409111702133,5.817939718364925e+18
-5799839529845993396,-1444481301861872291,-3705763041224967421,1649085803937938638,4061646345741687197,-1.4705929271140567e+18
-5798690764728257756,-7620438371471449873,1415230502586719648,2927476152522512441,-2559385310537355580,-2.3294802958396984e+18
-5794047401651735687,2050138727387005412,-6778286518036232293,409265364477466508,8833747781388133494,-6.836878558969097e+18
-5791454671270548045,-5331421579623797776,-9002191823887486987,4869691310149728361,8946250624470221174,-2.1397393772932124e+18
-5790539535722288419,-8009527121402763559,-3269885695260066314,4746056663292225769,8353614127518545485,-3.6539987422957307e+18
-5786811453218931415,-7527881206365368,6377566860234930618,4909630283317268181,-6584408680441477889,6.765368095966422e+18
-5784991738549272379,4340103631421550622,1441248639512899483,5431399346444238856,4045164454094417310,-3.7232175322249175e+18
-5784228041033890044,-6466212324513658217,7401798504722165526,-1463025432902754108,-5579492244806284582,5.726008417498979e+18
-5781461435447152359,-5500597021296520708,335910242745901755,-4351117979148287331,-5820943153819992582,9.028580484484027e+18
-5778988730475305016,-3410781775610270991,-8158171393641147845,966067567430037498,-5331421579623797776,-9.002191823887487e+18
-5769968511636780471,6650072898902843826,2051327203770554158,3321223121670148312,4333668738649701866,-3.2856209567048366e+18
-5762305367413370284,-4399400419562742528,-1868297195590431285,-3211843544085892873,-7900768082301348135,1.4313515282070863e+18
-5756697018315640725,-3850335246895770347,-7876497512693688413,-1730766821655383888,3547081132182529111,-1.8047289016749466e+18
-5750828394349042089,-455124319026316634,-8615008595949058842,-3114161754347804356,6389624212149850449,-2.9904856436779494e+18
-5736221996280340620,-8717945432162716060,6892866957050839435,-6058152698516590252,4865901874365409673,6.737022915341644e+18
-5729915270134094048,-6590064508646491981,-6215634663594744290,3134511142783292503,3142843830268077617,4.891010769166501e+18
-5715266554592745669,1349971382589894814,-456574518348806233,8181531374206668183,9128267824356972069,-8.009994379436553e+18
-5702535287667979261,7247406924790318523,-9080873096647717414,-8651474460024926245,-583471248660258378,-2.306981937763401e+18
-5691384416070374740,-1383778823073811714,4751741894255718069,8872925201254666834,7140495736721533935,-3.4881001912908303e+18
-5691008411030226594,-9099155556042679205,-329139582593571060,-4975645025178552956,-2896441888220202695,-3.645539449929727e+18
-5690023155612846030,5681075485882787671,-3920984929373505016,5761988486867612282,-7108012586837980940,-5.055745575969002e+18
-5689187996536546877,4916417766268744775,-2548446404469756145,2436112252908442663,-4158297476631283435,6.850736306618006e+17
-5686522658459155544,-2114113759134837010,-825802007843492131,2379460324923679020,-9184137057748005562,5.92834644565599e+18
-5684357871122991503,6165641386379495559,-1971429126058184075,-4888170580455425266,-5823763419123575797,-9.071883412530083e+18
-5680127089889759432,5037403311832115000,-6875247493073242590,-7638840925036528150,-3870325027932266414,3.321223121670148e+18
-5679515279292214033,9178250635927683,1851975995406778464,4786732753690611738,6999813113145211708,-4.726309075125105e+18
-5679427141235752819,2690205894709699741,-4110991218639855802,5147907773522671167,1487738553913510703,-5.405021817466311e+18
-5678159351655490918,2335028422423709400,8298709454703868984,8565115980515859979,-9171475473795142532,8.637400873589298e+18
-5676280017759875198,-6312384811410586459,9112765177685685246,-240359174314633445,-5434287697440336767,3.1428438302680776e+18
-5669503112960687520,-1676378465482420452,3541770362851368020,-4893195573827770029,-8025433077701076525,-4.925213312961843e+18
-5658245291907121574,1698483880714927645,6016376495317032228,-1637159115260338032,4597139024287190193,7.395435905985567e+18
-5649504870272917833,2900029983899283273,3068975614432538771,2690205894709699741,-8632408281960398473,-7.349721727282677e+18
-5647324599703588252,-2855910583928922225,-2477364558321255827,-2587745393898245957,-569322218183730892,-2.375266175756883e+18
-5637143900506554933,-3751249597609107201,6591221581057159843,5514214996211995551,2265761247530716287,5.71405533733877e+18
-5636731245639685654,2032007496318616962,5640834597379907148,2048657552251060795,6352416307575007029,4.320282974712265e+18
-5628897645967553681,-7217198366041991957,7851022564818849560,6031953227014493100,2156244701966673186,4.184543400419596e+18
-5628343274127925011,-5628343274127925011,2255878226385826814,-5458316826145145813,6206342468637502921,5.929055844564383e+18
-5625593730080264433,5795281877636738272,5816734694927565572,8926889915100214784,6535950170823528902,5.281570276277575e+18
-5622405819042018718,-9184137057748005562,2379460324923679020,8267509427016592713,2296515698565489277,-5.204755921272353e+18
-5618100784509704440,-33740349536513960,7620697593009487898,-3499919498720038879,-2088615309014484136,5.508043659570634e+18
-5613218615976195909,-5395935973320542237,-3348458175249982599,-8728075196312712282,5191381587333696286,5.473340184873041e+18
-5610593914683957297,-3978716320611299242,-2504825704002833401,4788854083489560153,6807042796917367736,-4.613284400780388e+18
-5608160619992456731,-5973686110278905367,-5257244885628286303,1665726676688122621,-2405892683303291957,9.124439338148818e+18
-5605799891597699962,7697593937932606048,362899217568283146,-5123671543726522991,1038118700785242153,-8.76213794705983e+18
-5602127731550819348,-5678159351655490918,2335028422423709400,8298709454703868984,8565115980515859979,8.637400873589298e+18
-5600393064072065417,8300126456272756546,8982094176562780806,7024819429467163565,1137471872769164371,9.217155070834565e+18
-5581910915745827384,-5581910915745827384,-7905002887579197656,-6245524727898921842,-1150591229250318592,6.234215549798993e+17
-5579492244806284582,-1852234953549915446,-8686523832043452855,6240076106289531207,7000840123067725009,-6.810247170272691e+18
-5578229678262992168,-5452374239565071760,3076823183761975019,-1257839697539084047,1431351528207086249,4.2733655168303857e+18
-5573840044320724169,8038154459609789205,-1312850681127865433,8200662919796009914,-2139739377293212491,4.869691310149728e+18
-5571606607344218289,2229625391864201918,1567984561327445971,1768976290984301641,8749720044741011597,4.1058736279005563e+18
-5570795524983603787,-5570795524983603787,-4920252354047555768,-455124319026316634,7965539599896143226,-8.681175158863587e+18
-5570256785328462468,8295457724580096419,-5570256785328462468,-3718969219417182449,8433131156569129937,-8.980834789053459e+18
-5570129644089964821,5462702203586546682,-3285397592982852407,-3875881534863988868,7421641564256558176,-6.559097002626793e+17
-5557505576293652420,-7191607771634445823,430255078684584595,8685746777792503843,-434149774629603391,-6.968139157190736e+18
-5550023273712568004,-3405516291669853723,-1312850681127865433,5817939718364925129,4869691310149728361,-2.587745393898246e+18
-5527182266336855540,9136323715291453594,5162508842577612756,-9216926795620865886,-969155230116728853,-8.63580946464968e+18
-5525441367600219076,-6817732106250460899,-5020541944663390025,4312678980890750477,-8508598439431879680,3.5331327949571384e+18
-5522643017727334716,-8689461307495241608,2668307045795933565,-9107331682787867601,-4186591400427142356,-7.202774608580337e+18
-5521549171704079872,-4248528062574538011,-5521549171704079872,8160885002406274828,-1596335233529956315,-7.82621333736245e+18
-5515204090203464377,-21036008762564671,4139191914110236238,6040574489860277999,-205193648629294862,-3.3635638815520614e+18
-5507019982244746725,-2828628091730682303,5032631648793129465,3075564241645350154,2687654465640040976,-3.552937095886147e+18
-5500597021296520708,-5781461435447152359,335910242745901755,-5060993828460133882,6040574489860277999,-4.3511179791482875e+18
-5491334714953807444,2124033843135988844,179286456725721055,-360529647164834348,-2440247087447106971,-1.0240465416132877e+18
-5488842573681626972,8749720044741011597,-8043889175123948305,4105873627900556540,-9153494109165200346,-9.172673334835262e+18
-5482295111885355605,3751305746867503759,-2899726011463496555,3149164017776669829,-6603351162010419903,7.818691400791323e+18
-5470166294767187597,7511744555558105059,-5470166294767187597,-9152398073968262186,7359386552064322134,-2.8005638418403876e+18
-5464698687596686623,-645584250289067285,6607431762270322325,6412479507689487223,-8167536150098135304,-8.287402887944985e+18
-5458316826145145813,5929055844564382383,6800965548226529308,-86767468210285959,-6207670654614839859,2.2558782263858268e+18
-5452374239565071760,-5578229678262992168,3548262914600772288,-8763351865833452031,-1763986443823721481,5.239464617027011e+18
-5446204508747882127,-8950763842769120954,7985545205318799060,-4831310174172854034,-816352740763488513,-4.655195825208523e+18
-5444306124868253918,5714314286511882372,4757923412035174662,5964888566269323942,-1342820011354825290,-6.15798481206516e+18
-5434287697440336767,-6312384811410586459,9112765177685685246,-8723568727518869245,-2217888411555964341,-2.9405369148892795e+18
-5431549861280885742,-2826566343807132236,-8248141950199177506,6234756865145917449,-7130425546996181071,-9.860277243035926e+17
-5414889822782394955,7421641564256558176,6201946560186605500,-9071883412530082330,2121807307434667949,6.040574489860278e+18
-5411404485622449820,-5411404485622449820,-8935051432668167578,-5289386635926629588,-4882849408937990337,-6.056382045660082e+18
-5410531116380081703,4774970687540378081,-788035419968530567,-1622037268576555626,2259988589066296676,5.964888566269324e+18
-5405021817466310759,-4662020648308370136,6525794335263078309,8433131156569129937,-3718969219417182449,-8.980834789053459e+18
-5403733687257676872,-4948201003470936673,5568089143939945595,-5150441845583002912,-7539647701814009718,8.920226233198909e+18
-5395935973320542237,3086800924266336392,-7666273193533605701,-9103776596534246502,-4570752586662989981,6.54155198436829e+18
-5386512752101672374,-6126634320182965455,-5848514031542611523,-6584408680441477889,-7509877147979461087,1.1582794358624143e+18
-5380376324140474506,7943906961970828120,2842727018572461564,1619468327065509360,3818189513627822856,-2.587745393898246e+18
-5363263367015469934,-5976464170927897250,3496156626367166618,7756118769128656312,8339561640071198727,-7.796858148829878e+18
-5361115220834660562,7286613907013366088,161784308223385549,-6761163882540291832,-3368357500455466403,8.789407896263306e+18
-5350793437550886525,-310216403933861245,3361679265573758500,5183878957903248326,7965539599896143226,-4.186591400427142e+18
-5345231991504930502,-6180514744351188891,1719976830095479814,-894273917655637623,-5345231991504930502,-1.6381223535996157e+18
-5331421579623797776,-9002191823887486987,3980405883168341377,3801064060797809024,-2587745393898245957,4.869691310149728e+18
-5328971462978089293,-556674612043273194,-6970201660508635241,-1861959619649725543,-8099709040471107382,-1.5116194616662956e+18
-5322047011520469406,-6941221957775073810,5271898714958115766,-2203297578165226595,-9172673334835262304,-9.1534941091652e+18
-5319401396891346003,3437437537867086722,2429264894470039764,-8641360668993633978,-3751398885033121551,-5.847687782206566e+18
-5315378314308323942,-2697906762425596568,6045455576279706291,-6734931185433789466,-7992053163122498177,-2.2908139324498778e+17
-5314778455998444995,-4575943417765899041,2474876390020567211,3884256359744615997,5947470908330062710,8.181531374206668e+18
-5313466754735123256,8685746777792503843,-6566328419164841526,430255078684584595,-4977928818612291634,7.578709204835512e+18
-5297634649735765167,-8512859527034085078,-7108012586837980940,-5055745575969002313,-3920984929373505016,8.028897172674067e+18
-5289386635926629588,-5411404485622449820,-8935051432668167578,-5289386635926629588,-4882849408937990337,-6.056382045660082e+18
-5283011611531067471,5135371516547401748,7303676031229268527,6634206168889468590,6908884359295619150,8.852691534826735e+17
-5283009029345397378,374674704202038318,6514150672874342131,3142843830268077617,6664082205633624486,-1.5963352335299564e+18
-5257244885628286303,-8343581376353287618,34557439830244258,1061238072586805321,4894993979681787098,-1.5574615112055217e+18
-5255285107284514595,-1737937277055036780,7569814035922103969,-1706114177222872702,-6510151088126868601,5.156657166068503e+18
-5253644367331262405,5092635400707338872,-9033211547111606164,-377975173223377441,7395435905985567130,-2.4235932921465226e+18
-5238066650780855302,4315784099325221836,163780025692404854,1536798472239364319,9033884391004475493,-9.099155556042679e+18
-5231736210378596444,8856169137131817223,-1511619461666295654,4780818054552370624,-4948717594596229869,5.473340184873041e+18
-5214997228209357198,-1687864471892802710,2436112252908442663,-4386371945374980231,2573252627510191315,5.92834644565599e+18
-5204755921272353160,8267509427016592713,-1033806831489252007,-23817016428727099,4372031182493802582,-2.0976265681915564e+18
-5200964355640106406,2990005046938769485,167668355036921406,3705075652854270482,-713893030279048092,-2.247142819145311e+18
-5198756378866433953,5037403311832115000,-6810702648836067504,-862645085190435621,-7463305179076477879,6.870972580508513e+18
-5193720747719231594,-908505899495735224,-3537777320523757545,4891164246772479976,-1255189867397298842,6.941466664989794e+18
-5181489804915739633,1662917027785920354,1595230810451459837,7938100642081250873,-3206777048078326150,-1.1376027008036015e+18
-5179565226573622983,-7568926158048616650,5322532051893153382,4235212484048164433,5191381587333696286,-2.7315684263416902e+17
-5179258585851879449,-5452374239565071760,895442114569096829,1024145536490998555,5239464617027010625,5.688279681867465e+18
-5170198873410718233,5314107418764884230,3151804887212279872,5152069678055228801,7124632953201847659,-4.770861947600257e+18
-5161313513317812402,9178250635927683,1851975995406778464,3998743085432844199,4629488036162962359,4.786732753690612e+18
-5160830061297425098,1772786465683785304,2362495898257544462,569574447134368517,4068119742428755460,-6.6235813275588e+18
-5154395767417065070,348632682812866328,6638782839540370044,8938071859536254465,-78422372027822130,7.358145651645216e+18
-5151030094059373567,1954991916791271993,-7152753999571084411,8870251820986769829,-8418620743404378592,-4.2650029398015114e+18
-5150441845583002912,-4948201003470936673,5568089143939945595,457505998997890101,-4158297476631283435,-3.6879653392916654e+18
-5148591903395022444,-3675009040647936899,-4798431998955209742,3818189513627822856,5424502143558028097,6.721990597981816e+17
-5123671543726522991,201515581783532281,-377975173223377441,8129909026510620711,4644672909721737325,-2.4235932921465226e+18
-5116903270312432935,6206342468637502921,3455160158461205368,-4833307637594287163,-6207670654614839859,-1.7639864438237215e+18
-5115041394506292462,-8123488152283046553,-2797708685347481851,6059546463839992340,7414965642940222121,8.174678078757706e+17
-5088157426675091741,-3723217532224917485,6285786669275987455,-8119612270825155371,9124439338148818380,-4.833307637594287e+18
-5086435085468197402,5913609969272242724,-8259953995965151136,-4186591400427142356,-8041742992841055506,-4.379516817975276e+16
-5082274522455747241,2834072258350675251,-2462651558329037716,6642437212220341339,8786528563105605644,2.2823850287528445e+18
-5078536505040226358,393734797767236089,464601875539492971,3162261384765351942,-927862226557602150,6.676432813691963e+17
-5071600977095793163,532564948976818124,1220948775534529013,-70211258489242437,-6184570078369383337,-5.600393064072065e+18
-5065077552540450930,7883212773611521498,2121807307434667949,-3368357500455466403,7181581805250416928,4.757923412035174e+18
-5060993828460133882,-4762897581600184489,-3460883803089049921,6040574489860277999,1003778007373126185,3.633037241382084e+17
-5055745575969002313,-7108012586837980940,-3920984929373505016,8028897172674067530,5761988486867612282,-8.512859527034085e+18
-5044204125574973395,2032007496318616962,5640834597379907148,-6463637573325658465,8215778202715904841,-3.6333000092064937e+18
-5043294260151549400,-4194520495766350572,-9040419159428373932,-3946932055798267834,-5470166294767187597,-3.968102273907751e+18
-5039153034159656707,-2494226662129766130,7127997889533450554,34557439830244258,-8343581376353287618,-3.170783292462059e+18
-5037827401452845772,2285392309373358857,8473367604990946179,-1730766821655383888,1181735998104559604,5.761988486867613e+18
-5027816744653977347,2602738827388230683,-1313614305945895108,9207286802575546269,4153717385931831462,-3.820497466351869e+18
-5025556998520984849,6009447229221815725,-6313130301986591995,-4351117979148287331,-9184137057748005562,-5.820943153819993e+18
-5024561776910686117,-4228415104574264137,5082053563644129584,8527071648070448758,8742078838645536785,-5.331421579623798e+18
-5020541944663390025,-8508598439431879680,-5525441367600219076,-6817732106250460899,4312678980890750477,2.379460324923679e+18
-5017021199558167721,7203367456821804602,6908884359295619150,6634206168889468590,885269153482673496,3.399073250354436e+18
-5014627593450767720,6565723369088595990,-7554863616241981368,7612428320594238723,-8314629309720421219,4.037478513037443e+18
-5011709367955107239,4702453495211185350,5658615529969625284,-2477364558321255827,-2213320166727371491,-5.693222181837309e+17
-5009578843275173733,2323403245382926621,4106497696154898573,-4570752586662989981,4109618890343020064,6.484776051882278e+18
-5002383425685129595,8215778202715904841,5640834597379907148,2048657552251060795,2032007496318616962,-6.820241302436968e+18
-5000193502203199335,-6546787050052580484,-7463572107837163154,-5954724412982705962,-7255737497176527784,-7.638840925036529e+18
-4996336942690402156,7529823674661315431,-3450690190989108770,911037455259135591,-1181242543195516037,5.312357518363318e+18
-4994468824009200256,2271793263120018251,-4615575698508618335,8754824745136110042,-6510151088126868601,7.251252752220328e+18
-4977928818612291634,8685746777792503843,-5762305367413370284,-6566328419164841526,-2261845840076552387,-5.313466754735123e+18
-4975645025178552956,-5691008411030226594,-329139582593571060,4139191914110236238,8550670510357310628,-3.645539449929727e+18
-4974757204495953627,5795281877636738272,357449794379078687,-6518848947517153700,654383168348870348,-8.277924497842157e+18
-4948717594596229869,-4948717594596229869,5473340184873040894,-4205603734017049464,4647928672998188259,-7.875485745277809e+18
-4948201003470936673,-5150441845583002912,-9184137057748005562,2379460324923679020,-1687864471892802710,-8.50859843943188e+18
-4944551138301474550,6352416307575007029,5640834597379907148,-6820241302436968068,2032007496318616962,8.847604225354271e+18
-4930542581518647030,153466256338950062,6658481071718074876,4717008760225392411,-1473180765724334454,-1.7558753836030528e+18
-4925213312961842798,-3645539449929727083,6222001809679591440,-5669503112960687520,-1676378465482420452,-4.89319557382777e+18
-4921088466135297415,1772786465683785304,-9064100704535292718,2457939609972623332,511891900317865118,-3.7595968526961306e+18
-4920252354047555768,-455124319026316634,-907419983362132448,-5570795524983603787,-8353590933060505654,5.314107418764884e+18
-4917007328809735647,1586004000405879970,-4994468824009200256,4804093434821394840,-8445686000003509032,2.335028422423709e+18
-4893195573827770029,-5669503112960687520,-4925213312961842798,-2630716662499331227,-1676378465482420452,-8.244000618837043e+18
-4888170580455425266,6165641386379495559,-1971429126058184075,-5684357871122991503,-48321713734223478,-5.823763419123576e+18
-4882849408937990337,-6056382045660082261,-5289386635926629588,5232169374213306041,-5411404485622449820,-8.935051432668167e+18
-4875060556471576861,8898031730873390440,4633013345375349272,784265334245910688,4165127518659426948,-6.872546942144599e+18
-4872447160271266802,-1779870737568212247,4328888515190573663,3662832673570108627,3196303498841885455,-1.4444813018618724e+18
-4866987227632887920,-282629989972409543,-6468782714472551646,3241240229241793423,-5845411843260276924,3.6182059201795773e+18
-4864344772765973009,215332765550420709,-7034660627992927630,-4864344772765973009,-614408900691920886,4.817624205684041e+18
-4844663695104994694,5379671084978512851,7251252752220327534,7569814035922103969,-7454907763335725103,4.3031426775814794e+18
-4833307637594287163,-329139582593571060,-1536771179525677307,-5691008411030226594,-5116903270312432935,-2.144625344076629e+18
-4831310174172854034,-8606063418076691067,4577451034168098359,7202701636941380671,90383487344892230,-5.446204508747882e+18
-4798431998955209742,5424502143558028097,-7447329442374055391,-3675009040647936899,3980405883168341377,-4.133169317019899e+18
-4793380646045599184,-4265002939801511319,-8418620743404378592,8870251820986769829,7059601745558171892,-7.152753999571084e+18
-4770861947600256785,549631724393582960,-2871288807409592,4807410384082534048,-8369610219380465981,-5.170198873410719e+18
-4767439283620384185,-4608017393995766765,-4132331404553626868,-2400879112398974660,1485652648052127324,-4.4082375822273496e+16
-4765711818183276269,-498521148402713730,-1981734999963962468,9151634133568930081,5913609969272242724,5.379671084978513e+18
-4762897581600184489,-5060993828460133882,7578709204835512162,-3460883803089049921,3779639438468810958,6.040574489860278e+18
-4761420664091904483,-623310439329591027,8057379878708189245,-3854488592949785912,2051327203770554158,-3.2856209567048366e+18
-4760639635023250284,-1565401790888834000,-6192959589652486637,-2038869595290705317,-8800029253812071912,1.6629170277859203e+18
-4754223659064624252,8754824745136110042,-4615575698508618335,7024819429467163565,-89955207814154444,-1.1376027008036015e+18
-4749032095489327822,-455124319026316634,7351002593233940239,1662917027785920354,-3134743773662773628,-3.6621111102371354e+18
-4748027149000767298,-8578355592291788601,8065912276310959188,3566197569262766169,-6634868367571835312,-1.0609905241051356e+18
